Name,Team,Position,Height(inches),Weight(pounds),Age
Adam_Donachie,BAL,Catcher,74,180,22.99
Paul_Bako,BAL,Catcher,74,215,34.69
Ramon_Hernandez,BAL,Catcher,72,210,30.78
Kevin_Millar,BAL,First_Baseman,72,210,35.43
Chris_Gomez,BAL,First_Baseman,73,188,35.71
Brian_Roberts,BAL,Second_Baseman,69,176,29.39
Miguel_Tejada,BAL,Shortstop,69,209,30.77
Melvin_Mora,BAL,Third_Baseman,71,200,35.07
Aubrey_Huff,BAL,Third_Baseman,76,231,30.19
Adam_Stern,BAL,Outfielder,71,180,27.05
Jeff_Fiorentino,BAL,Outfielder,73,188,23.88
Freddie_Bynum,BAL,Outfielder,73,180,26.96
Nick_Markakis,BAL,Outfielder,74,185,23.29
Brandon_Fahey,BAL,Outfielder,74,160,26.11
Corey_Patterson,BAL,Outfielder,69,180,27.55
Jay_Payton,BAL,Outfielder,70,185,34.27
Jay_Gibbons,BAL,Designated_Hitter,72,197,30
Erik_Bedard,BAL,Starting_Pitcher,73,189,27.99
Hayden_Penn,BAL,Starting_Pitcher,75,185,22.38
Adam_Loewen,BAL,Starting_Pitcher,78,219,22.89
Daniel_Cabrera,BAL,Starting_Pitcher,79,230,25.76
Steve_Trachsel,BAL,Starting_Pitcher,76,205,36.33
Jaret_Wright,BAL,Starting_Pitcher,74,230,31.17
Kris_Benson,BAL,Starting_Pitcher,76,195,32.31
Scott_Williamson,BAL,Relief_Pitcher,72,180,31.03
John_Parrish,BAL,Relief_Pitcher,71,192,29.26
Danys_Baez,BAL,Relief_Pitcher,75,225,29.47
Chad_Bradford,BAL,Relief_Pitcher,77,203,32.46
Jamie_Walker,BAL,Relief_Pitcher,74,195,35.67
Brian_Burres,BAL,Relief_Pitcher,73,182,25.89
Kurt_Birkins,BAL,Relief_Pitcher,74,188,26.55
James_Hoey,BAL,Relief_Pitcher,78,200,24.17
Sendy_Rleal,BAL,Relief_Pitcher,73,180,26.69
Chris_Ray,BAL,Relief_Pitcher,75,200,25.13
Jeremy_Guthrie,BAL,Relief_Pitcher,73,200,27.9
A.J._Pierzynski,CWS,Catcher,75,245,30.17
Toby_Hall,CWS,Catcher,75,240,31.36
Paul_Konerko,CWS,First_Baseman,74,215,30.99
Tadahito_Iguchi,CWS,Second_Baseman,69,185,32.24
Juan_Uribe,CWS,Shortstop,71,175,27.61
Alex_Cintron,CWS,Shortstop,74,199,28.2
Joe_Crede,CWS,Third_Baseman,73,200,28.85
Josh_Fields,CWS,Third_Baseman,73,215,24.21
Ryan_Sweeney,CWS,Outfielder,76,200,22.02
Brian_N._Anderson,CWS,Outfielder,74,205,24.97
Luis_Terrero,CWS,Outfielder,74,206,26.78
Pablo_Ozuna,CWS,Outfielder,70,186,32.51
Scott_Podsednik,CWS,Outfielder,72,188,30.95
Jermaine_Dye,CWS,Outfielder,77,220,33.09
Darin_Erstad,CWS,Outfielder,74,210,32.74
Rob_Mackowiak,CWS,Outfielder,70,195,30.69
Jim_Thome,CWS,Designated_Hitter,76,244,36.51
Jerry_Owens,CWS,Designated_Hitter,75,195,26.03
Charlie_Haeger,CWS,Starting_Pitcher,73,200,23.45
Heath_Phillips,CWS,Starting_Pitcher,75,200,24.94
Gavin_Floyd,CWS,Starting_Pitcher,76,212,24.09
Jose_Contreras,CWS,Starting_Pitcher,76,224,35.23
Jon_Garland,CWS,Starting_Pitcher,78,210,27.43
Javier_Vazquez,CWS,Starting_Pitcher,74,205,30.6
Mark_Buehrle,CWS,Starting_Pitcher,74,220,27.94
Mike_MacDougal,CWS,Relief_Pitcher,76,195,29.99
David_Aardsma,CWS,Relief_Pitcher,77,200,25.17
Andrew_Sisco,CWS,Relief_Pitcher,81,260,24.13
Matt_Thornton,CWS,Relief_Pitcher,78,228,30.46
Bobby_Jenks,CWS,Relief_Pitcher,75,270,25.96
Boone_Logan,CWS,Relief_Pitcher,77,200,22.55
Sean_Tracey,CWS,Relief_Pitcher,75,210,26.29
Nick_Masset,CWS,Relief_Pitcher,76,190,24.79
Jose_Molina,ANA,Catcher,74,220,31.74
Jeff_Mathis,ANA,Catcher,72,180,23.92
Mike_Napoli,ANA,Catcher,72,205,25.33
Casey_Kotchman,ANA,First_Baseman,75,210,24.02
Kendry_Morales,ANA,First_Baseman,73,220,23.7
Shea_Hillenbrand,ANA,First_Baseman,73,211,31.59
Robb_Quinlan,ANA,First_Baseman,73,200,29.95
Howie_Kendrick,ANA,First_Baseman,70,180,23.64
Orlando_Cabrera,ANA,Shortstop,70,190,32.33
Erick_Aybar,ANA,Shortstop,70,170,23.13
Dallas_McPherson,ANA,Third_Baseman,76,230,26.6
Maicer_Izturis,ANA,Third_Baseman,68,155,26.46
Reggie_Willits,ANA,Outfielder,71,185,25.75
Tommy_Murphy,ANA,Outfielder,72,185,27.51
Terry_Evans,ANA,Outfielder,75,200,25.11
Gary_Matthews_Jr.,ANA,Outfielder,75,225,32.51
Garret_Anderson,ANA,Outfielder,75,225,34.67
Vladimir_Guerrero,ANA,Outfielder,75,220,31.06
Chone_Figgins,ANA,Outfielder,68,160,29.1
Juan_Rivera,ANA,Outfielder,74,205,28.66
John_Lackey,ANA,Starting_Pitcher,78,235,28.35
Bartolo_Colon,ANA,Starting_Pitcher,71,250,33.77
Kelvim_Escobar,ANA,Starting_Pitcher,73,210,30.89
Dustin_Moseley,ANA,Starting_Pitcher,76,190,37.74
Ervin_Santana,ANA,Starting_Pitcher,74,160,24.14
Joe_Saunders,ANA,Starting_Pitcher,74,200,25.71
Jered_Weaver,ANA,Starting_Pitcher,79,205,24.41
Chris_Resop,ANA,Relief_Pitcher,75,222,24.32
Phil_Seibel,ANA,Relief_Pitcher,73,195,28.09
Justin_Speier,ANA,Relief_Pitcher,76,205,33.31
Darren_Oliver,ANA,Relief_Pitcher,74,220,36.4
Hector_Carrasco,ANA,Relief_Pitcher,74,220,37.36
Scot_Shields,ANA,Relief_Pitcher,73,170,31.61
Francisco_Rodriguez,ANA,Relief_Pitcher,72,185,25.14
Greg_Jones,ANA,Relief_Pitcher,74,195,30.29
Doug_Mirabelli,BOS,Catcher,73,220,36.37
Jason_Varitek,BOS,Catcher,74,230,34.89
